date,machine_name,region_id,sleep_before,video_machine_name,video_region_id,video_id,label
2016-04-11,ETHOSCOPE_004,8,high,ETHOSCOPE_035,2,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,A
2016-04-11,ETHOSCOPE_005,9,high,ETHOSCOPE_035,6,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,B
2016-04-11,ETHOSCOPE_005,11,high,ETHOSCOPE_035,10,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,C
2016-04-11,ETHOSCOPE_002,10,high,ETHOSCOPE_035,8,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,D
2016-04-11,ETHOSCOPE_005,18,high,ETHOSCOPE_035,12,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,E
2016-04-11,ETHOSCOPE_002,20,high,ETHOSCOPE_035,4,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,F
2016-05-02,ETHOSCOPE_019,15,high,ETHOSCOPE_042,10,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,G
2016-05-02,ETHOSCOPE_018,6,high,ETHOSCOPE_042,8,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,H
2016-05-02,ETHOSCOPE_018,11,high,ETHOSCOPE_042,4,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,I
2016-05-02,ETHOSCOPE_018,17,high,ETHOSCOPE_042,6,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,J
2016-04-11,ETHOSCOPE_020,11,low,ETHOSCOPE_035,11,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,K
2016-04-11,ETHOSCOPE_020,6,low,ETHOSCOPE_035,3,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,L
2016-04-11,ETHOSCOPE_004,20,low,ETHOSCOPE_035,9,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,M
2016-04-11,ETHOSCOPE_003,20,low,ETHOSCOPE_035,7,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,N
2016-05-02,ETHOSCOPE_036,13,low,ETHOSCOPE_042,5,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,NA
2016-05-02,ETHOSCOPE_036,17,low,ETHOSCOPE_042,7,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,NA
2016-05-02,ETHOSCOPE_009,8,low,ETHOSCOPE_042,9,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,NA
2016-05-02,ETHOSCOPE_036,10,high,ETHOSCOPE_042,2,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,NA
2016-04-11,ETHOSCOPE_001,10,low,ETHOSCOPE_035,5,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,O
2016-05-02,ETHOSCOPE_019,13,low,ETHOSCOPE_042,11,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,P
2016-05-02,ETHOSCOPE_002,6,low,ETHOSCOPE_042,1,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,Q
2016-05-02,ETHOSCOPE_002,13,low,ETHOSCOPE_042,3,2016-05-09_15-04-17_042afdfecaaa435a8e17b789ddc2ea1a,R
2016-04-11,ETHOSCOPE_005,6,low,ETHOSCOPE_035,1,2016-04-18_14-06-08_035aeeee10184bb39b0754e75cef7900,S
