date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-22,ETHOSCOPE_008,1,F,10,4,OK
2016-07-22,ETHOSCOPE_008,2,F,0,4,OK
2016-07-22,ETHOSCOPE_008,3,F,10,4,OK
2016-07-22,ETHOSCOPE_008,4,F,0,4,OK
2016-07-22,ETHOSCOPE_008,5,F,10,4,OK
2016-07-22,ETHOSCOPE_008,6,F,0,4,OK
2016-07-22,ETHOSCOPE_008,7,F,10,4,OK
2016-07-22,ETHOSCOPE_008,8,F,0,4,OK
2016-07-22,ETHOSCOPE_008,9,F,10,4,OK
2016-07-22,ETHOSCOPE_008,10,F,0,4,OK
2016-07-22,ETHOSCOPE_008,11,F,0,4,OK
2016-07-22,ETHOSCOPE_008,12,F,10,4,OK
2016-07-22,ETHOSCOPE_008,13,F,0,4,OK
2016-07-22,ETHOSCOPE_008,14,F,10,4,OK
2016-07-22,ETHOSCOPE_008,15,F,0,4,OK
2016-07-22,ETHOSCOPE_008,16,F,10,4,OK
2016-07-22,ETHOSCOPE_008,17,F,0,4,OK
2016-07-22,ETHOSCOPE_008,18,F,10,4,OK
2016-07-22,ETHOSCOPE_008,19,F,0,4,OK
2016-07-22,ETHOSCOPE_008,20,F,10,4,OK
2016-07-22,ETHOSCOPE_009,1,M,10,4,OK
2016-07-22,ETHOSCOPE_009,2,M,0,4,OK
2016-07-22,ETHOSCOPE_009,3,M,10,4,OK
2016-07-22,ETHOSCOPE_009,4,M,0,4,OK
2016-07-22,ETHOSCOPE_009,5,M,10,4,OK
2016-07-22,ETHOSCOPE_009,6,M,0,4,OK
2016-07-22,ETHOSCOPE_009,7,M,10,4,OK
2016-07-22,ETHOSCOPE_009,8,M,0,4,OK
2016-07-22,ETHOSCOPE_009,9,M,10,4,OK
2016-07-22,ETHOSCOPE_009,10,M,0,4,OK
2016-07-22,ETHOSCOPE_009,11,M,0,4,OK
2016-07-22,ETHOSCOPE_009,12,M,10,4,OK
2016-07-22,ETHOSCOPE_009,13,M,0,4,OK
2016-07-22,ETHOSCOPE_009,14,M,10,4,OK
2016-07-22,ETHOSCOPE_009,15,M,0,4,OK
2016-07-22,ETHOSCOPE_009,16,M,10,4,OK
2016-07-22,ETHOSCOPE_009,17,M,0,4,OK
2016-07-22,ETHOSCOPE_009,18,M,10,4,OK
2016-07-22,ETHOSCOPE_009,19,M,0,4,OK
2016-07-22,ETHOSCOPE_009,20,M,10,4,OK
2016-07-22,ETHOSCOPE_011,1,M,10,4,OK
2016-07-22,ETHOSCOPE_011,2,M,0,4,OK
2016-07-22,ETHOSCOPE_011,3,M,10,4,OK
2016-07-22,ETHOSCOPE_011,4,M,0,4,OK
2016-07-22,ETHOSCOPE_011,5,M,10,4,OK
2016-07-22,ETHOSCOPE_011,6,M,0,4,OK
2016-07-22,ETHOSCOPE_011,7,M,10,4,OK
