date,machine_name,region_id,sex,sdi,baseline_days,status
2016-07-11,ETHOSCOPE_011,1,F,10,4,OK
2016-07-11,ETHOSCOPE_011,2,F,0,4,OK
2016-07-11,ETHOSCOPE_011,3,F,10,4,OK
2016-07-11,ETHOSCOPE_011,4,F,0,4,OK
2016-07-11,ETHOSCOPE_011,5,F,10,4,OK
2016-07-11,ETHOSCOPE_011,6,F,0,4,OK
2016-07-11,ETHOSCOPE_011,7,F,10,4,OK
2016-07-11,ETHOSCOPE_011,8,F,0,4,OK
2016-07-11,ETHOSCOPE_011,9,F,10,4,OK
2016-07-11,ETHOSCOPE_011,10,F,0,4,OK
2016-07-11,ETHOSCOPE_011,11,F,0,4,OK
2016-07-11,ETHOSCOPE_011,12,F,10,4,OK
2016-07-11,ETHOSCOPE_011,13,F,0,4,OK
2016-07-11,ETHOSCOPE_011,14,F,10,4,OK
2016-07-11,ETHOSCOPE_011,15,F,0,4,OK
2016-07-11,ETHOSCOPE_011,16,F,10,4,OK
2016-07-11,ETHOSCOPE_011,17,F,0,4,OK
2016-07-11,ETHOSCOPE_011,18,F,10,4,OK
2016-07-11,ETHOSCOPE_011,19,F,0,4,OK
2016-07-11,ETHOSCOPE_011,20,F,10,4,OK
2016-07-11,ETHOSCOPE_012,1,F,10,4,OK
2016-07-11,ETHOSCOPE_012,2,F,0,4,OK
2016-07-11,ETHOSCOPE_012,3,F,10,4,OK
2016-07-11,ETHOSCOPE_012,4,F,0,4,OK
2016-07-11,ETHOSCOPE_012,5,F,10,4,OK
2016-07-11,ETHOSCOPE_012,6,F,0,4,OK
2016-07-11,ETHOSCOPE_012,7,F,10,4,OK
2016-07-11,ETHOSCOPE_012,8,F,0,4,OK
2016-07-11,ETHOSCOPE_012,9,F,10,4,OK
2016-07-11,ETHOSCOPE_012,10,F,0,4,OK
2016-07-11,ETHOSCOPE_012,11,F,0,4,OK
2016-07-11,ETHOSCOPE_012,12,F,10,4,broken_oring
2016-07-11,ETHOSCOPE_012,13,F,0,4,OK
2016-07-11,ETHOSCOPE_012,14,F,10,4,OK
2016-07-11,ETHOSCOPE_012,15,F,0,4,OK
2016-07-11,ETHOSCOPE_012,16,F,10,4,extruded
2016-07-11,ETHOSCOPE_012,17,F,0,4,OK
2016-07-11,ETHOSCOPE_012,18,F,10,4,OK
2016-07-11,ETHOSCOPE_012,19,F,0,4,OK
