date,machine_name,region_id,genotype,temp,SD,sex,baseline_days,SD_start,incubator,status,sdi
2017-10-27,ETHOSCOPE_014,1,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,2,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,3,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,4,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,5,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,6,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,7,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,8,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,9,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,10,CS,25C,ZT00-ZT12,F,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,11,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,12,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,13,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,0
2017-10-27,ETHOSCOPE_014,14,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_014,15,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,0
2017-10-27,ETHOSCOPE_014,16,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,10
2017-10-27,ETHOSCOPE_014,17,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,0
2017-10-27,ETHOSCOPE_014,18,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,10
2017-10-27,ETHOSCOPE_014,19,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,0
2017-10-27,ETHOSCOPE_014,20,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,no_animal,10
2017-10-27,ETHOSCOPE_023,1,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,10
2017-10-27,ETHOSCOPE_023,2,CS,25C,ZT00-ZT12,M,4,2017-10-31,6,OK,0
