date,machine_name,region_id,genotype,sex,baseline_days,status,sdi
2017-11-13,ETHOSCOPE_004,1,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,2,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,3,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,4,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,5,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,6,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,7,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,8,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,9,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,10,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,11,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,12,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,13,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,14,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,15,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,16,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,17,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,18,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_004,19,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_004,20,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_034,1,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,2,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,3,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,4,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,5,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,6,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,7,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,8,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,9,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,10,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,11,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,12,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,13,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,14,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,15,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,16,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,17,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,18,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_034,19,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_034,20,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,1,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,2,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,3,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,4,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,5,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,6,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,7,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,8,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,9,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,10,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,11,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,12,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,13,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,14,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,15,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,16,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,17,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,18,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_055,19,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_055,20,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_050,1,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,2,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,3,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,4,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,5,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,6,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,7,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,8,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,9,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,10,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,11,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,12,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,13,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,14,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,15,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,16,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,17,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,18,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_050,19,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_050,20,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_014,1,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,2,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,3,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,4,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,5,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,6,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,7,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,8,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,9,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,10,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,11,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,12,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,13,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,14,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,15,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,16,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,17,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,18,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_014,19,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_014,20,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_023,1,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,2,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,3,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,4,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,5,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,6,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,7,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,8,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,9,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,10,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,11,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,12,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,13,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,14,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,15,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,16,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,17,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,18,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_023,19,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_023,20,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_041,1,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,2,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,3,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,4,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,5,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,6,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,7,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,8,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,9,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,10,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,11,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,12,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,13,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,14,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,15,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,16,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,17,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,18,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_041,19,CS,F,5,OK,0
2017-11-13,ETHOSCOPE_041,20,CS,F,5,OK,10
2017-11-13,ETHOSCOPE_001,1,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,2,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,3,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,4,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,5,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,6,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,7,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,8,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,9,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,10,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,11,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,12,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,13,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,14,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,15,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,16,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,17,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,18,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_001,19,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_001,20,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_032,1,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_032,2,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_032,3,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_032,4,CS,M,5,OK,0
2017-11-13,ETHOSCOPE_032,5,CS,M,5,OK,10
2017-11-13,ETHOSCOPE_032,6,CS,M,5,OK,0
